Periode Inflasi;Tingkat Inflasi
Jan-98;7.56
Feb-98;9.77
Mar-98;-0.68
Apr-98;9.95
May-98;6.43
Jun-98;7.84
Jul-98;7.41
Aug-98;2.71
Sep-98;6.62
Oct-98;-1.42
Nov-98;0.38
Dec-98;4.61
Jan-99;2.21
Feb-99;-0.18
Mar-99;-1.33
Apr-99;-1.41
May-99;-0.30
Jun-99;-0.64
Jul-99;-1.34
Aug-99;-0.90
Sep-99;0.25
Oct-99;0.70
Nov-99;0.03
Dec-99;2.47
Jan-00;2.04
Feb-00;0.69
Mar-00;-1.50
Apr-00;-0.91
May-00;0.53
Jun-00;-0.65
Jul-00;1.86
Aug-00;-0.12
Sep-00;-0.23
Oct-00;0.97
Nov-00;0.63
Dec-00;1.35
Jan-01;2.56
Feb-01;-0.77
Mar-01;-0.16
Apr-01;0.64
May-01;2.22
Jun-01;1.82
Jul-01;1.34
Aug-01;0.73
Sep-01;0.37
Oct-01;0.18
Nov-01;3.70
Dec-01;0.24
Jan-02;3.22
Feb-02;0.36
Mar-02;-0.47
Apr-02;-0.03
May-02;0.47
Jun-02;-0.10
Jul-02;0.12
Aug-02;0.75
Sep-02;0.47
Oct-02;1.75
Nov-02;0.65
Dec-02;1.88
Jan-03;1.05
Feb-03;-0.17
Mar-03;-0.91
Apr-03;-0.25
May-03;0.34
Jun-03;-0.53
Jul-03;1.19
Aug-03;0.33
Sep-03;-0.74
Oct-03;1.10
Nov-03;0.19
Dec-03;0.92
Jan-04;0.61
Feb-04;-0.45
Mar-04;0.71
Apr-04;0.75
May-04;1.14
Jun-04;1.53
Jul-04;0.54
Aug-04;-0.80
Sep-04;0.46
Oct-04;-0.50
Nov-04;1.74
Dec-04;1.37
Jan-05;4.26
Feb-05;-2.07
Mar-05;1.50
Apr-05;-0.07
May-05;-0.53
Jun-05;1.15
Jul-05;1.51
Aug-05;0.73
Sep-05;0.45
Oct-05;10.61
Nov-05;1.64
Dec-05;-0.54
Jan-06;-0.57
Feb-06;0.44
Mar-06;0.03
Apr-06;-0.87
May-06;0.58
Jun-06;0.69
Jul-06;0.18
Aug-06;0.76
Sep-06;0.73
Oct-06;1.49
Nov-06;1.11
Dec-06;1.36
Jan-07;1.98
Feb-07;0.32
Mar-07;0.66
Apr-07;-0.98
May-07;-0.81
Jun-07;1.25
Jul-07;1.44
Aug-07;1.09
Sep-07;1.21
Oct-07;-0.15
Nov-07;1.00
Dec-07;1.12
Jan-08;1.12
Feb-08;0.96
Mar-08;0.96
Apr-08;0.48
May-08;1.95
Jun-08;2.88
Jul-08;1.24
Aug-08;0.02
Sep-08;0.12
Oct-08;0.63
Nov-08;-0.03
Dec-08;0.73
Jan-09;0.28
Feb-09;0.52
Mar-09;-1.00
Apr-09;-0.15
May-09;0.55
Jun-09;-0.30
Jul-09;1.04
Aug-09;1.38
Sep-09;0.80
Oct-09;0.57
Nov-09;-0.44
Dec-09;-0.53
Jan-10;0.90
Feb-10;0.38
Mar-10;-0.24
Apr-10;0.43
May-10;0.16
Jun-10;2.29
Jul-10;1.71
Aug-10;-0.75
Sep-10;0.13
Oct-10;0.02
Nov-10;1.70
Dec-10;2.60
Jan-11;2.42
Feb-11;-0.02
Mar-11;-1.18
Apr-11;-1.47
May-11;0.31
Jun-11;0.79
Jul-11;0.78
Aug-11;0.68
Sep-11;1.27
Oct-11;0.36
Nov-11;-0.28
Dec-11;0.57
Jan-12;2.85
Feb-12;-0.83
Mar-12;-0.39
Apr-12;0.64
May-12;-0.49
Jun-12;1.78
Jul-12;0.39
Aug-12;0.10
Sep-12;0.48
Oct-12;-0.42
Nov-12;-0.55
Dec-12;1.12
Jan-13;2.01
Feb-13;1.16
Mar-13;0.30
Apr-13;0.31
May-13;0.34
Jun-13;1.22
Jul-13;2.52
Aug-13;0.37
Sep-13;0.73
Oct-13;0.47
Nov-13;1.39
Dec-13;0.61
Jan-14;1.12
Feb-14;-0.76
Mar-14;0.59
Apr-14;-0.66
May-14;1.61
Jun-14;-0.09
Jul-14;0.29
Aug-14;0.13
Sep-14;0.57
Oct-14;0.28
Nov-14;1.95
Dec-14;2.69
Jan-15;-0.61
Feb-15;-1.38
Mar-15;0.17
Apr-15;0.56
May-15;1.11
Jun-15;1.44
Jul-15;0.06
Aug-15;-0.20
Sep-15;-0.28
Oct-15;0.43
Nov-15;0.28
Dec-15;1.78
Jan-16;0.44
Feb-16;-0.33
Mar-16;0.66
Apr-16;-0.66
May-16;0.82
Jun-16;0.65
Jul-16;0.17
Aug-16;0.66
Sep-16;0.29
Oct-16;0.63
Nov-16;0.80
Dec-16;0.54
Jan-17;0.72
Feb-17;-0.17
Mar-17;0.17
Apr-17;-0.17
May-17;-0.01
Jun-17;-0.07
Jul-17;0.26
Aug-17;0.83
Sep-17;0.55
Oct-17;0.15
Nov-17;0.32
Dec-17;0.46
Jan-18;0.54
Feb-18;-0.58
Mar-18;0.17
Apr-18;0.56
May-18;-0.01
Jun-18;0.10
Jul-18;0.35
Aug-18;0.07
Sep-18;-0.24
Oct-18;0.80
Nov-18;-0.01
Dec-18;0.38
Jan-19;0.01
Feb-19;-0.29
Mar-19;0.27
Apr-19;1.03
May-19;0.67
Jun-19;0.91
Jul-19;0.29
Aug-19;-0.40
Sep-19;-1.18
Oct-19;0.01
Nov-19;-0.10
Dec-19;0.34
Jan-20;0.62
Feb-20;0.12
Mar-20;-0.12
Apr-20;-0.40
May-20;0.37
Jun-20;-0.13
Jul-20;-0.76
Aug-20;0.20
Sep-20;0.29
Oct-20;0.46
Nov-20;0.64
Dec-20;1.47
Jan-21;1.13
Feb-21;-0.46
Mar-21;-0.23
Apr-21;0.05
May-21;0.08
Jun-21;0.23
Jul-21;-0.03
Aug-21;-0.07
Sep-21;0.31
Oct-21;-0.36
Nov-21;0.58
Dec-21;0.85
Jan-22;0.96
Feb-22;0.18
Mar-22;0.77
Apr-22;0.39
May-22;0.62
Jun-22;1.36
Jul-22;0.04
Aug-22;-0.79
Sep-22;1.50
Oct-22;-0.54
Nov-22;-0.08
Dec-22;1.61
Jan-23;0.98
Feb-23;-0.04
Mar-23;-0.30
Apr-23;-0.25
May-23;0.45
Jun-23;0.52
Jul-23;0.10
Aug-23;-0.11
Sep-23;0.16
Oct-23;-0.15
Nov-23;0.37
Dec-23;0.56
